id,name,link,difficulty,solution
60,Finding 3-Digit Even Numbers,https://leetcode.com/problems/finding-3-digit-even-numbers/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2094.java)                                                                     
61,Removing Minimum and Maximum From Array,https://leetcode.com/problems/removing-minimum-and-maximum-from-array/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2091.java)                                                                     
62,K Radius Subarray Averages,https://leetcode.com/problems/k-radius-subarray-averages/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2090.java)                                                                     
63,Find Target Indices After Sorting Array,https://leetcode.com/problems/find-target-indices-after-sorting-array/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2089.java)                                                                     
64,Minimum Number of Buckets Required to Collect Rainwater from Houses,https://leetcode.com/problems/minimum-number-of-buckets-required-to-collect-rainwater-from-houses/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2086.java)                                                                     
65,Count Common Words With One Occurrence,https://leetcode.com/problems/count-common-words-with-one-occurrence/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2085.java)                                                                     
66,Range Frequency Queries,https://leetcode.com/problems/range-frequency-queries/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2080.java)                                                                     
67,Watering Plants,https://leetcode.com/problems/watering-plants/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2079.java)                                                                     
68,Two Furthest Houses With Different Colors,https://leetcode.com/problems/two-furthest-houses-with-different-colors/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2078.java)                                                                     
69,Process Restricted Friend Requests,https://leetcode.com/problems/process-restricted-friend-requests/,Hard                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2076.java)                                                                     
70,Decode the Slanted Ciphertext,https://leetcode.com/problems/decode-the-slanted-ciphertext/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2075.java)                                                                     
71,Reverse Nodes in Even Length Groups,https://leetcode.com/problems/reverse-nodes-in-even-length-groups/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2074.java)                                                                     
72,Time Needed to Buy Tickets,https://leetcode.com/problems/time-needed-to-buy-tickets/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2073.java)                                                                     
73,Most Beautiful Item for Each Query,https://leetcode.com/problems/most-beautiful-item-for-each-query/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2070.java)                                                                     
74,Check Whether Two Strings are Almost Equivalent,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2068.java)                                                                     
75,Vowels of All Substrings,https://leetcode.com/problems/vowels-of-all-substrings/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2063.java)                                                                     
76,Count Vowel Substrings of a String,https://leetcode.com/problems/count-vowel-substrings-of-a-string/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2062.java)                                                                     
77,Find the Minimum and Maximum Number of Nodes Between Critical Points,https://leetcode.com/problems/find-the-minimum-and-maximum-number-of-nodes-between-critical-points/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2058.java)                                                                     
78,Smallest Index With Equal Value,https://leetcode.com/problems/smallest-index-with-equal-value/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2057.java)                                                                     
79,Plates Between Candles,https://leetcode.com/problems/plates-between-candles/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2055.java)                                                                     
80,Two Best Non-Overlapping Events,https://leetcode.com/problems/two-best-non-overlapping-events/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2054.java)                                                                     
81,Kth Distinct String in an Array,https://leetcode.com/problems/kth-distinct-string-in-an-array/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2053.java)                                                                     
82,Parallel Courses III,https://leetcode.com/problems/parallel-courses-iii/,Hard                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2050.java)                                                                     
83,Next Greater Numerically Balanced Number,https://leetcode.com/problems/next-greater-numerically-balanced-number/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2048.java)                                                                     
84,Number of Valid Words in a Sentence,https://leetcode.com/problems/number-of-valid-words-in-a-sentence/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2047.java)                                                                     
85,Count Number of Maximum Bitwise-OR Subsets,https://leetcode.com/problems/count-number-of-maximum-bitwise-or-subsets/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2044.java)                                                                     
86,Simple Bank System,https://leetcode.com/problems/simple-bank-system/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2043.java)                                                                     
87,Check if Numbers Are Ascending in a Sentence,https://leetcode.com/problems/check-if-numbers-are-ascending-in-a-sentence/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2042.java)                                                                     
88,The Time When the Network Becomes Idle,https://leetcode.com/problems/the-time-when-the-network-becomes-idle/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2039.java)                                                                     
89,Remove Colored Pieces if Both Neighbors are the Same Color,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2038.java)                                                                     
90,Minimum Number of Moves to Seat Everyone,https://leetcode.com/problems/minimum-number-of-moves-to-seat-everyone/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2037.java)                                                                     
91,Stock Price Fluctuation,https://leetcode.com/problems/stock-price-fluctuation/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2034.java)                                                                     
92,Minimum Operations to Make a Uni-Value Grid,https://leetcode.com/problems/minimum-operations-to-make-a-uni-value-grid/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2033.java)                                                                     
93,Two Out of Three,https://leetcode.com/problems/two-out-of-three/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2032.java)                                                                     
94,Find Missing Observations,https://leetcode.com/problems/find-missing-observations/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2028.java)                                                                     
95,Minimum Moves to Convert String,https://leetcode.com/problems/minimum-moves-to-convert-string/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2027.java)                                                                     
96,Maximize the Confusion of an Exam,https://leetcode.com/problems/maximize-the-confusion-of-an-exam/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2024.java)                                                                     
97,Number of Pairs of Strings With Concatenation Equal to Target,https://leetcode.com/problems/number-of-pairs-of-strings-with-concatenation-equal-to-target/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2023.java)                                                                     
98,Convert 1D Array Into 2D Array,https://leetcode.com/problems/convert-1d-array-into-2d-array/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2022.java)                                                                     
99,Check if Word Can Be Placed In Crossword,https://leetcode.com/problems/check-if-word-can-be-placed-in-crossword/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2018.java)                                                                     
100,Grid Game,https://leetcode.com/problems/grid-game/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2017.java)                                                                     
101,Maximum Difference Between Increasing Elements,https://leetcode.com/problems/maximum-difference-between-increasing-elements/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2016.java)                                                                     
102,Sum of Beauty in the Array,https://leetcode.com/problems/sum-of-beauty-in-the-array/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2012.java)                                                                     
103,Final Value of Variable After Performing Operations,https://leetcode.com/problems/final-value-of-variable-after-performing-operations/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2011.java)                                                                     
104,Find Original Array From Doubled Array,https://leetcode.com/problems/find-original-array-from-doubled-array/,Medium                                                                        ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2007.java)                                                                     
105,Count Number of Pairs With Absolute Difference K,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k/,Easy                                                                          ,[Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2006.java)                                                                     
106,Number of Pairs of Interchangeable Rectangles,https://leetcode.com/problems/number-of-pairs-of-interchangeable-rectangles/,Medium                                                                        ,"[Python3](https://github.com/fishercoder1534/Leetcode/blob/master/python3/2001.py), [Java](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2001.java)                               "
107,Reverse Prefix of Word,https://leetcode.com/problems/reverse-prefix-of-word/,Easy                                                                          ,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_2000.java)                                                                 
108,The Number of Weak Characters in the Game,https://leetcode.com/problems/the-number-of-weak-characters-in-the-game/,Medium                                                                        ,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_1996.java)                                                                 
109,Count Special Quadruplets,https://leetcode.com/problems/count-special-quadruplets/,Easy                                                                          ,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_1995.java)                                                                 
110,Find All Groups of Farmland,https://leetcode.com/problems/find-all-groups-of-farmland/,Medium                                                                        ,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_1992.java)                                                                 
111,Find the Middle Index in Array,https://leetcode.com/problems/find-the-middle-index-in-array/,Easy                                                                          ,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_1991.java)                                                                 
112,Find the Kth Largest Integer in the Array,https://leetcode.com/problems/find-the-kth-largest-integer-in-the-array/,Medium                                                                        ,[Solution](https://github.com/fishercoder1534/Leetcode/blob/master/src/main/java/com/fishercoder/solutions/_1985.java)                                                                 
